epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1649.93,0.89757,0.95061,0.61786,0.98258,0,0.9123,0.79312,0.88663,0.66187,0.87187,0.76241,0.81108,0.37291,0.88624,0.81729,0.63446,1.02114,0,0.000832349,0.000832349,0.000832349
29,1711.67,0.89535,0.94999,0.61424,0.98389,0,0.9227,0.78103,0.88083,0.66167,0.87662,0.74202,0.81494,0.38769,0.88281,0.84166,0.65509,1.02318,0,0.000820525,0.000820525,0.000820525
30,1769.21,0.89135,0.92884,0.60185,0.98576,0,0.89685,0.79965,0.88414,0.65709,0.84771,0.74113,0.79642,0.36863,0.90387,0.84796,0.63753,1.02882,0,0.000808389,0.000808389,0.000808389
31,1826.71,0.89936,0.97111,0.61704,0.98752,0,0.88591,0.8094,0.88613,0.66566,0.87032,0.77943,0.82451,0.37,0.88978,0.8269,0.64076,1.00937,0,0.000795954,0.000795954,0.000795954
32,1884.14,0.8879,0.9569,0.61124,0.98128,0,0.90954,0.79328,0.87682,0.65876,0.85766,0.73759,0.7853,0.35113,0.89468,0.82341,0.65767,1.00834,0,0.000783231,0.000783231,0.000783231
33,1941.84,0.87682,0.92667,0.59742,0.98252,0,0.89006,0.81028,0.88473,0.67127,0.84301,0.75692,0.79692,0.35866,0.87342,0.82129,0.63267,1.01152,0,0.000770234,0.000770234,0.000770234
34,1999.34,0.87457,0.93126,0.59036,0.97786,0,0.90322,0.8025,0.88077,0.66571,0.84767,0.75177,0.78188,0.33374,0.87766,0.8551,0.62671,1.00914,0,0.000756976,0.000756976,0.000756976
35,2057.2,0.8568,0.92653,0.59023,0.96905,0,0.89229,0.80496,0.88458,0.66849,0.86459,0.76413,0.81486,0.37776,0.8759,0.82899,0.62972,1.00662,0,0.000743468,0.000743468,0.000743468
36,2115.29,0.8627,0.91287,0.58776,0.97262,0,0.89707,0.80142,0.88137,0.67072,0.87505,0.72017,0.78685,0.34408,0.86212,0.85213,0.63057,1.00059,0,0.000729725,0.000729725,0.000729725
37,2173.37,0.85344,0.91583,0.58016,0.97088,0,0.90608,0.79521,0.8852,0.67447,0.87845,0.75177,0.80813,0.37316,0.86469,0.82037,0.61713,1.00715,0,0.000715761,0.000715761,0.000715761
38,2231.41,0.86748,0.91809,0.5849,0.97616,0,0.90175,0.81117,0.88854,0.67747,0.86701,0.7766,0.82543,0.36885,0.85861,0.83497,0.60839,1.00987,0,0.000701588,0.000701588,0.000701588
39,2289.45,0.87113,0.93137,0.58316,0.97891,0,0.89442,0.8156,0.88722,0.67706,0.87615,0.75256,0.80205,0.36143,0.85398,0.82299,0.60565,1.00283,0,0.000687222,0.000687222,0.000687222
40,2347.47,0.85779,0.91351,0.58519,0.97133,0,0.90155,0.80142,0.89078,0.68037,0.88445,0.75089,0.8192,0.38545,0.84897,0.80331,0.617,1.00319,0,0.000672675,0.000672675,0.000672675
41,2405.68,0.84727,0.92535,0.57451,0.96559,0,0.91426,0.79407,0.89047,0.67841,0.88915,0.76064,0.82903,0.38412,0.86046,0.82762,0.62059,1.00726,0,0.000657963,0.000657963,0.000657963
42,2463.78,0.84551,0.90103,0.56516,0.96774,0,0.88428,0.80851,0.88802,0.67721,0.85007,0.74823,0.7991,0.35797,0.88424,0.83197,0.61748,1.01484,0,0.000643101,0.000643101,0.000643101
43,2521.88,0.83708,0.89562,0.56077,0.96705,0,0.91911,0.80587,0.89137,0.69147,0.89918,0.75906,0.82243,0.38861,0.83271,0.79484,0.60216,0.99149,0,0.000628101,0.000628101,0.000628101
44,2579.99,0.84404,0.914,0.56971,0.96674,0,0.91866,0.8094,0.88857,0.68203,0.87352,0.7633,0.80683,0.36592,0.8334,0.80533,0.60098,1.00048,0,0.000612981,0.000612981,0.000612981
45,2638.04,0.8387,0.89604,0.56015,0.96262,0,0.90538,0.8156,0.89078,0.68554,0.87416,0.77216,0.826,0.37722,0.82554,0.79932,0.60626,0.98953,0,0.000597754,0.000597754,0.000597754
46,2696.15,0.8443,0.90447,0.5686,0.9643,0,0.91573,0.81887,0.89047,0.68076,0.85376,0.76152,0.80038,0.35337,0.83041,0.80451,0.58366,0.99458,0,0.000582435,0.000582435,0.000582435
47,2754.13,0.83379,0.89174,0.558,0.96309,0,0.90692,0.80319,0.88853,0.68159,0.86794,0.75742,0.81138,0.3737,0.83638,0.8097,0.60099,0.99048,0,0.00056704,0.00056704,0.00056704
48,2812.12,0.81962,0.88487,0.55262,0.96002,0,0.92004,0.8094,0.89059,0.68757,0.89956,0.74823,0.82799,0.39349,0.80341,0.78037,0.59791,0.98382,0,0.000551584,0.000551584,0.000551584
49,2871.82,0.81894,0.88116,0.55286,0.96093,0,0.91809,0.80487,0.89393,0.69386,0.89751,0.76507,0.82902,0.40046,0.7981,0.77558,0.58134,0.97812,0,0.000536081,0.000536081,0.000536081
50,2931.64,0.81737,0.85971,0.55219,0.95669,0,0.91656,0.81803,0.895,0.69404,0.90359,0.7766,0.83697,0.40758,0.79913,0.76029,0.56755,0.97409,0,0.000520548,0.000520548,0.000520548
51,2991.56,0.80005,0.84945,0.53653,0.95078,0,0.91387,0.80762,0.89255,0.69542,0.9099,0.76418,0.83088,0.41695,0.82439,0.75719,0.57606,0.97838,0,0.000505,0.000505,0.000505
52,3051.16,0.78756,0.82709,0.53128,0.94764,0,0.92798,0.81206,0.90118,0.69986,0.9038,0.77459,0.83846,0.42216,0.81643,0.74721,0.5604,0.98164,0,0.000489452,0.000489452,0.000489452
53,3110.62,0.79429,0.82436,0.52989,0.95067,0,0.92749,0.82004,0.8989,0.70273,0.9054,0.78812,0.84471,0.42268,0.7952,0.7341,0.56073,0.98698,0,0.000473919,0.000473919,0.000473919
54,3170.06,0.78712,0.83069,0.52973,0.94779,0,0.90724,0.81915,0.8994,0.70425,0.91889,0.78103,0.85934,0.43891,0.78159,0.72853,0.56139,0.97593,0,0.000458416,0.000458416,0.000458416
55,3229.57,0.78951,0.8167,0.53179,0.94974,0,0.93048,0.80682,0.89579,0.70446,0.91719,0.78557,0.85255,0.43826,0.78724,0.71948,0.56883,0.9802,0,0.00044296,0.00044296,0.00044296
56,3289.12,0.77485,0.80772,0.52601,0.94675,0,0.92537,0.81349,0.89694,0.70639,0.92345,0.77837,0.84956,0.44166,0.77872,0.71797,0.5555,0.97815,0,0.000427565,0.000427565,0.000427565
57,3348.6,0.78519,0.8184,0.52786,0.95276,0,0.94391,0.81383,0.89957,0.70684,0.93191,0.80081,0.85944,0.44507,0.78253,0.70796,0.54054,0.97677,0,0.000412246,0.000412246,0.000412246
58,3408.13,0.77081,0.78555,0.5157,0.94509,0,0.92104,0.82727,0.90008,0.70599,0.91732,0.79876,0.86799,0.45724,0.77848,0.69541,0.54708,0.97651,0,0.000397019,0.000397019,0.000397019
59,3467.59,0.76832,0.79318,0.51716,0.94511,0,0.92742,0.81294,0.9003,0.71112,0.92444,0.79177,0.86705,0.46082,0.77779,0.70561,0.55126,0.97447,0,0.000381899,0.000381899,0.000381899
