epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,2039.94,0.25999,0.16656,0.87336,0.99994,1,0.995,0.98667,0.14877,0.08145,0.77177,0.000489452,0.000489452,0.000489452
53,2078.44,0.25774,0.16444,0.87194,0.99994,1,0.995,0.98605,0.14768,0.08187,0.77132,0.000473919,0.000473919,0.000473919
54,2116.99,0.26032,0.16495,0.87552,0.99994,1,0.995,0.98675,0.14863,0.08182,0.77099,0.000458416,0.000458416,0.000458416
55,2155.54,0.26133,0.16838,0.87494,0.99994,1,0.995,0.98605,0.15102,0.0827,0.77281,0.00044296,0.00044296,0.00044296
56,2194.04,0.26017,0.16648,0.87309,0.99994,1,0.995,0.98714,0.14747,0.08179,0.77064,0.000427565,0.000427565,0.000427565
57,2232.55,0.25722,0.16449,0.87413,0.99994,1,0.995,0.98609,0.14657,0.08173,0.77082,0.000412246,0.000412246,0.000412246
58,2271.11,0.25777,0.16187,0.8735,0.99994,1,0.995,0.98681,0.14643,0.08016,0.77071,0.000397019,0.000397019,0.000397019
59,2309.26,0.25493,0.16127,0.8733,0.99994,1,0.995,0.98649,0.14472,0.07825,0.77072,0.000381899,0.000381899,0.000381899
60,2347.51,0.25049,0.16001,0.87247,0.99994,1,0.995,0.98645,0.14486,0.07818,0.7704,0.000366899,0.000366899,0.000366899
61,2385.88,0.24943,0.15996,0.87143,0.99994,1,0.995,0.98685,0.14316,0.07813,0.77011,0.000352037,0.000352037,0.000352037
62,2424.46,0.24838,0.15717,0.87149,0.99994,1,0.995,0.98685,0.1426,0.0775,0.77009,0.000337325,0.000337325,0.000337325
63,2463,0.24615,0.15444,0.86983,0.99994,1,0.995,0.98691,0.14279,0.07791,0.77014,0.000322778,0.000322778,0.000322778
64,2501.55,0.24867,0.15556,0.87146,0.99994,1,0.995,0.98688,0.14093,0.07771,0.76964,0.000308412,0.000308412,0.000308412
65,2540.1,0.24262,0.15214,0.86901,0.99994,1,0.995,0.98673,0.14133,0.07645,0.76982,0.000294239,0.000294239,0.000294239
66,2578.67,0.24275,0.15093,0.86862,0.99993,1,0.995,0.98724,0.14062,0.0755,0.76961,0.000280275,0.000280275,0.000280275
67,2617.23,0.24604,0.15311,0.86981,0.99992,1,0.995,0.98707,0.14049,0.07593,0.76924,0.000266532,0.000266532,0.000266532
68,2655.77,0.23964,0.14976,0.86853,0.99993,1,0.995,0.98667,0.14138,0.07512,0.76972,0.000253024,0.000253024,0.000253024
69,2694.29,0.23798,0.14905,0.86952,0.99994,1,0.995,0.98685,0.14071,0.07403,0.76968,0.000239766,0.000239766,0.000239766
70,2732.84,0.24511,0.1519,0.87114,0.99994,1,0.995,0.98712,0.14017,0.07522,0.76938,0.000226769,0.000226769,0.000226769
71,2771.4,0.24127,0.14823,0.86921,0.99994,1,0.995,0.98711,0.13986,0.07415,0.76942,0.000214046,0.000214046,0.000214046
72,2809.91,0.23783,0.14624,0.86925,0.99994,1,0.995,0.98684,0.13958,0.07409,0.76969,0.000201611,0.000201611,0.000201611
73,2848.45,0.23411,0.1442,0.86569,0.99993,1,0.995,0.98655,0.13907,0.07293,0.76915,0.000189475,0.000189475,0.000189475
74,2886.96,0.23562,0.14634,0.86682,0.99994,1,0.995,0.98685,0.13858,0.07366,0.76897,0.000177651,0.000177651,0.000177651
75,2925.47,0.23075,0.14373,0.8666,0.99994,1,0.995,0.98663,0.13812,0.0742,0.76871,0.000166149,0.000166149,0.000166149
76,2963.95,0.22801,0.1412,0.86434,0.99994,1,0.995,0.9869,0.13817,0.07397,0.76896,0.000154982,0.000154982,0.000154982
77,3002.53,0.22988,0.14169,0.86647,0.99994,1,0.995,0.98694,0.13859,0.07225,0.76916,0.000144161,0.000144161,0.000144161
78,3041.09,0.22678,0.14133,0.86483,0.99994,1,0.995,0.98702,0.13721,0.07202,0.7688,0.000133695,0.000133695,0.000133695
79,3079.68,0.22571,0.14032,0.86607,0.99994,1,0.995,0.98676,0.13683,0.0716,0.76858,0.000123596,0.000123596,0.000123596
80,3118.26,0.22336,0.13939,0.86334,0.99994,1,0.995,0.98711,0.13667,0.07124,0.76836,0.000113873,0.000113873,0.000113873
81,3156.8,0.22318,0.13781,0.86481,0.99994,1,0.995,0.98728,0.13644,0.07153,0.7683,0.000104537,0.000104537,0.000104537
82,3195.37,0.22205,0.13649,0.86509,0.99994,1,0.995,0.987,0.13594,0.07067,0.76816,9.55951e-05,9.55951e-05,9.55951e-05
83,3233.93,0.22069,0.13585,0.86349,0.99994,1,0.995,0.98734,0.13543,0.07008,0.76791,8.70577e-05,8.70577e-05,8.70577e-05
84,3272.5,0.22405,0.13673,0.86499,0.99994,1,0.995,0.98728,0.13515,0.07035,0.76777,7.89327e-05,7.89327e-05,7.89327e-05
85,3311.04,0.21849,0.13366,0.86304,0.99994,1,0.995,0.98737,0.13482,0.0701,0.76771,7.12282e-05,7.12282e-05,7.12282e-05
86,3349.57,0.22155,0.13446,0.86246,0.99994,1,0.995,0.98713,0.13457,0.06995,0.76777,6.39518e-05,6.39518e-05,6.39518e-05
87,3390.28,0.2227,0.13545,0.86358,0.99994,1,0.995,0.98728,0.13453,0.0698,0.76772,5.71106e-05,5.71106e-05,5.71106e-05
88,3427.91,0.22126,0.13498,0.86368,0.99994,1,0.995,0.98733,0.13433,0.06946,0.76769,5.07115e-05,5.07115e-05,5.07115e-05
89,3466.48,0.21271,0.12944,0.85962,0.99994,1,0.995,0.98746,0.13418,0.06974,0.76764,4.47606e-05,4.47606e-05,4.47606e-05
90,3506.9,0.22005,0.13518,0.86491,0.99994,1,0.995,0.98756,0.13413,0.06964,0.76755,3.9264e-05,3.9264e-05,3.9264e-05
91,3578.22,0.14557,0.08448,0.77716,0.99994,1,0.995,0.98765,0.13445,0.06975,0.76757,3.4227e-05,3.4227e-05,3.4227e-05
92,3662.54,0.14117,0.08141,0.77656,0.99994,1,0.995,0.98766,0.13477,0.06919,0.76765,2.96546e-05,2.96546e-05,2.96546e-05
93,3745.21,0.13903,0.0799,0.77577,0.99994,1,0.995,0.98765,0.13479,0.06988,0.76766,2.55513e-05,2.55513e-05,2.55513e-05
94,3829.16,0.1396,0.07975,0.77565,0.99994,1,0.995,0.98743,0.13489,0.06917,0.76766,2.19212e-05,2.19212e-05,2.19212e-05
95,3916.64,0.13876,0.07918,0.77512,0.99994,1,0.995,0.98738,0.13483,0.06911,0.76776,1.87678e-05,1.87678e-05,1.87678e-05
96,4000.94,0.13666,0.07767,0.7745,0.99994,1,0.995,0.98727,0.13491,0.06916,0.7677,1.60943e-05,1.60943e-05,1.60943e-05
97,4089.06,0.13682,0.07811,0.77682,0.99994,1,0.995,0.98737,0.13466,0.06956,0.7676,1.39032e-05,1.39032e-05,1.39032e-05
98,4173.55,0.13691,0.07786,0.77686,0.99994,1,0.995,0.98738,0.13466,0.06962,0.76767,1.21968e-05,1.21968e-05,1.21968e-05
99,4261.53,0.13646,0.07756,0.77887,0.99994,1,0.995,0.98727,0.13465,0.06963,0.76765,1.09768e-05,1.09768e-05,1.09768e-05
100,4345.89,0.13719,0.07769,0.77629,0.99994,1,0.995,0.98734,0.1346,0.0697,0.76763,1.02443e-05,1.02443e-05,1.02443e-05
