epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,3471.79,0.1247,0.01013,0,0.0908,0.83258,1,1,0.995,0.94376,1,1,0.995,0.99476,0.37536,0.0137,0,0.15473,1.42986,0.000756976,0.000756976,0.000756976
35,3560.26,0.12043,0.00962,0,0.08767,0.82704,0.99994,1,0.995,0.91935,0.99994,1,0.995,0.99475,0.3925,0.01312,0,0.179,1.52896,0.000743468,0.000743468,0.000743468
36,3648.82,0.1209,0.0091,0,0.08973,0.82436,1,1,0.995,0.96171,1,1,0.995,0.99479,0.36318,0.0128,0,0.14943,1.26515,0.000729725,0.000729725,0.000729725
37,3737.36,0.12096,0.00978,0,0.08677,0.8278,1,1,0.995,0.9393,1,1,0.995,0.99473,0.38129,0.01162,0,0.15371,1.39954,0.000715761,0.000715761,0.000715761
38,3826.05,0.11956,0.00989,0,0.08534,0.83044,0.99995,1,0.995,0.94826,0.99995,1,0.995,0.99464,0.37046,0.01196,0,0.14727,1.35896,0.000701588,0.000701588,0.000701588
39,3914.65,0.11757,0.00936,0,0.0859,0.82714,0.99995,1,0.995,0.96585,0.99995,1,0.995,0.99461,0.36632,0.01464,0,0.15706,1.32711,0.000687222,0.000687222,0.000687222
40,4003.17,0.11521,0.0091,0,0.08637,0.81863,0.99995,1,0.995,0.95686,0.99995,1,0.995,0.99481,0.37064,0.01344,0,0.15796,1.37864,0.000672675,0.000672675,0.000672675
41,4091.78,0.11526,0.00829,0,0.08435,0.82208,0.9999,1,0.995,0.96609,0.9999,1,0.995,0.9946,0.36224,0.01229,0,0.14822,1.28676,0.000657963,0.000657963,0.000657963
42,4180.43,0.11365,0.00843,0,0.08241,0.82286,0.99994,1,0.995,0.93525,0.99994,1,0.995,0.99463,0.37961,0.01216,0,0.15721,1.36669,0.000643101,0.000643101,0.000643101
43,4269.07,0.11392,0.00763,0,0.08678,0.82177,1,1,0.995,0.94389,1,1,0.995,0.99472,0.38382,0.01108,0,0.1549,1.41137,0.000628101,0.000628101,0.000628101
44,4357.74,0.11206,0.00796,0,0.08323,0.81364,0.99991,1,0.995,0.93921,0.99991,1,0.995,0.9947,0.3817,0.01128,0,0.16303,1.40593,0.000612981,0.000612981,0.000612981
45,4446.43,0.11195,0.00782,0,0.08496,0.81986,0.99995,1,0.995,0.96081,0.99995,1,0.995,0.9947,0.36122,0.01095,0,0.16254,1.34457,0.000597754,0.000597754,0.000597754
46,4534.95,0.10911,0.00716,0,0.0808,0.81324,1,1,0.995,0.94429,1,1,0.995,0.99481,0.39038,0.01099,0,0.16912,1.40088,0.000582435,0.000582435,0.000582435
47,4623.55,0.109,0.00773,0,0.08008,0.81717,0.99991,1,0.995,0.96588,0.99991,1,0.995,0.99468,0.37224,0.01066,0,0.1497,1.35412,0.00056704,0.00056704,0.00056704
48,4712.08,0.10635,0.0073,0,0.07774,0.81109,0.99994,1,0.995,0.94312,0.99994,1,0.995,0.99481,0.3677,0.0106,0,0.15244,1.31754,0.000551584,0.000551584,0.000551584
49,4800.67,0.10611,0.00751,0,0.07755,0.81178,0.99995,1,0.995,0.94094,0.99995,1,0.995,0.99439,0.39639,0.01192,0,0.16817,1.46988,0.000536081,0.000536081,0.000536081
50,4889.31,0.10503,0.00646,0,0.07692,0.8119,0.99994,1,0.995,0.94656,0.99994,1,0.995,0.99473,0.38564,0.01067,0,0.15903,1.38236,0.000520548,0.000520548,0.000520548
51,4978.03,0.10421,0.00644,0,0.07672,0.81296,1,1,0.995,0.95987,1,1,0.995,0.99473,0.37825,0.01018,0,0.15631,1.35043,0.000505,0.000505,0.000505
52,5066.66,0.10229,0.0062,0,0.07557,0.81038,0.99995,1,0.995,0.96786,0.99995,1,0.995,0.99475,0.35605,0.00936,0,0.14552,1.33169,0.000489452,0.000489452,0.000489452
53,5155.31,0.10136,0.00643,0,0.0764,0.80665,0.99989,1,0.995,0.94346,0.99989,1,0.995,0.9948,0.39411,0.0107,0,0.16688,1.42548,0.000473919,0.000473919,0.000473919
54,5243.94,0.10127,0.0067,0,0.0762,0.80865,0.99995,1,0.995,0.96867,0.99995,1,0.995,0.99448,0.35635,0.00986,0,0.1494,1.29828,0.000458416,0.000458416,0.000458416
55,5332.59,0.10296,0.00624,0,0.0758,0.80721,0.99994,1,0.995,0.96381,0.99994,1,0.995,0.99479,0.36846,0.01043,0,0.15325,1.34371,0.00044296,0.00044296,0.00044296
56,5421.21,0.09886,0.00545,0,0.073,0.80387,0.99995,1,0.995,0.95907,0.99995,1,0.995,0.99488,0.3727,0.00972,0,0.1584,1.33925,0.000427565,0.000427565,0.000427565
57,5509.91,0.09755,0.00528,0,0.07265,0.80123,0.99995,1,0.995,0.96349,0.99995,1,0.995,0.99486,0.36912,0.00914,0,0.15277,1.36104,0.000412246,0.000412246,0.000412246
58,5598.55,0.09821,0.00565,0,0.07281,0.80254,0.99995,1,0.995,0.95426,0.99995,1,0.995,0.9948,0.37474,0.00937,0,0.15384,1.41412,0.000397019,0.000397019,0.000397019
59,5687.22,0.09549,0.00523,0,0.07189,0.80059,0.99995,1,0.995,0.9399,0.99995,1,0.995,0.99483,0.38695,0.00922,0,0.1593,1.46816,0.000381899,0.000381899,0.000381899
60,5775.86,0.09438,0.00514,0,0.07073,0.80282,0.99995,1,0.995,0.96531,0.99995,1,0.995,0.99499,0.3734,0.00739,0,0.15801,1.39776,0.000366899,0.000366899,0.000366899
61,5864.59,0.09548,0.00517,0,0.07095,0.80166,0.99995,1,0.995,0.96168,0.99995,1,0.995,0.99479,0.37044,0.00915,0,0.15509,1.36859,0.000352037,0.000352037,0.000352037
62,5953.32,0.09507,0.00508,0,0.07092,0.80257,0.99995,1,0.995,0.96374,0.99995,1,0.995,0.995,0.36945,0.00805,0,0.15729,1.34759,0.000337325,0.000337325,0.000337325
63,6042,0.09623,0.00513,0,0.07185,0.80191,0.99995,1,0.995,0.97102,0.99995,1,0.995,0.99499,0.36344,0.00787,0,0.15593,1.32591,0.000322778,0.000322778,0.000322778
64,6130.69,0.09202,0.00491,0,0.07008,0.79814,0.99995,1,0.995,0.96468,0.99995,1,0.995,0.99489,0.37126,0.00852,0,0.1552,1.37082,0.000308412,0.000308412,0.000308412
65,6219.64,0.09226,0.00468,0,0.06918,0.79387,0.99995,1,0.995,0.95462,0.99995,1,0.995,0.99481,0.37623,0.00922,0,0.15691,1.40294,0.000294239,0.000294239,0.000294239
66,6308.3,0.09015,0.00511,0,0.0678,0.79762,0.99995,1,0.995,0.95562,0.99995,1,0.995,0.99483,0.3739,0.00901,0,0.15755,1.38919,0.000280275,0.000280275,0.000280275
67,6396.84,0.08956,0.00477,0,0.06829,0.79677,0.99995,1,0.995,0.9586,0.99995,1,0.995,0.99499,0.37877,0.00797,0,0.16482,1.39826,0.000266532,0.000266532,0.000266532
68,6485.51,0.09066,0.00483,0,0.06986,0.79702,1,1,0.995,0.96365,1,1,0.995,0.99459,0.37285,0.01048,0,0.15802,1.34371,0.000253024,0.000253024,0.000253024
69,6574.16,0.09009,0.00457,0,0.06781,0.79929,0.99995,1,0.995,0.95774,0.99995,1,0.995,0.99463,0.37802,0.01019,0,0.15683,1.37924,0.000239766,0.000239766,0.000239766
70,6662.86,0.08926,0.00456,0,0.06768,0.79687,0.99995,1,0.995,0.95004,0.99995,1,0.995,0.99481,0.37873,0.00915,0,0.15766,1.39171,0.000226769,0.000226769,0.000226769
71,6751.56,0.08834,0.0045,0,0.06783,0.7934,0.99995,1,0.995,0.95108,0.99995,1,0.995,0.99478,0.376,0.00916,0,0.16166,1.38739,0.000214046,0.000214046,0.000214046
72,6840.35,0.08854,0.00462,0,0.06757,0.79215,0.99995,1,0.995,0.95868,0.99995,1,0.995,0.99479,0.37426,0.00924,0,0.1596,1.37955,0.000201611,0.000201611,0.000201611
73,6929.05,0.08794,0.00437,0,0.06711,0.7934,0.99995,1,0.995,0.95991,0.99995,1,0.995,0.99481,0.36755,0.00913,0,0.15913,1.34363,0.000189475,0.000189475,0.000189475
74,7017.75,0.08699,0.00451,0,0.06654,0.792,0.99995,1,0.995,0.95681,0.99995,1,0.995,0.99479,0.37217,0.00907,0,0.1596,1.37095,0.000177651,0.000177651,0.000177651
75,7106.5,0.08528,0.00441,0,0.06513,0.78931,0.99995,1,0.995,0.95231,0.99995,1,0.995,0.99478,0.37653,0.00902,0,0.16222,1.38939,0.000166149,0.000166149,0.000166149
76,7195.2,0.08584,0.00436,0,0.06491,0.79049,0.99995,1,0.995,0.95334,0.99995,1,0.995,0.9948,0.37471,0.00917,0,0.15877,1.36909,0.000154982,0.000154982,0.000154982
77,7283.91,0.08531,0.00421,0,0.0649,0.79071,0.99995,1,0.995,0.95257,0.99995,1,0.995,0.99482,0.37734,0.00902,0,0.15893,1.38112,0.000144161,0.000144161,0.000144161
78,7372.61,0.0837,0.00398,0,0.06447,0.78817,1,1,0.995,0.95064,1,1,0.995,0.99481,0.37904,0.00906,0,0.16029,1.38391,0.000133695,0.000133695,0.000133695
79,7461.29,0.08357,0.00401,0,0.06433,0.78824,1,1,0.995,0.95126,1,1,0.995,0.99482,0.38074,0.00913,0,0.16177,1.39079,0.000123596,0.000123596,0.000123596
80,7549.92,0.08388,0.00402,0,0.06412,0.78943,0.99995,1,0.995,0.95033,0.99995,1,0.995,0.99487,0.38156,0.00901,0,0.16316,1.39748,0.000113873,0.000113873,0.000113873
81,7638.57,0.08107,0.00409,0,0.06274,0.78805,0.99995,1,0.995,0.94972,0.99995,1,0.995,0.99482,0.38147,0.00907,0,0.16313,1.40188,0.000104537,0.000104537,0.000104537
82,7727.2,0.08183,0.00399,0,0.06352,0.7868,0.99995,1,0.995,0.95118,0.99995,1,0.995,0.99482,0.38088,0.00901,0,0.16311,1.39769,9.55951e-05,9.55951e-05,9.55951e-05
83,7815.85,0.08115,0.00381,0,0.06294,0.78587,0.99995,1,0.995,0.95169,0.99995,1,0.995,0.99482,0.37891,0.00871,0,0.16205,1.38179,8.70577e-05,8.70577e-05,8.70577e-05
84,7904.55,0.08199,0.00381,0,0.06337,0.78975,0.99995,1,0.995,0.95594,0.99995,1,0.995,0.9948,0.37658,0.00865,0,0.16218,1.37483,7.89327e-05,7.89327e-05,7.89327e-05
85,7993.23,0.08069,0.00383,0,0.06217,0.78642,0.99995,1,0.995,0.95562,0.99995,1,0.995,0.99477,0.37607,0.00865,0,0.1622,1.37793,7.12282e-05,7.12282e-05,7.12282e-05
86,8081.89,0.07972,0.00371,0,0.06214,0.78505,0.99995,1,0.995,0.9543,0.99995,1,0.995,0.99477,0.37734,0.00853,0,0.16266,1.38327,6.39518e-05,6.39518e-05,6.39518e-05
87,8170.68,0.07938,0.00377,0,0.06156,0.78556,1,1,0.995,0.9544,1,1,0.995,0.99479,0.37874,0.00844,0,0.16379,1.39237,5.71106e-05,5.71106e-05,5.71106e-05
88,8259.36,0.07986,0.00377,0,0.06183,0.78601,1,1,0.995,0.95367,1,1,0.995,0.99479,0.38,0.00838,0,0.16391,1.39953,5.07115e-05,5.07115e-05,5.07115e-05
89,8347.96,0.07861,0.00366,0,0.06085,0.78536,1,1,0.995,0.9549,1,1,0.995,0.99479,0.37877,0.00839,0,0.16219,1.39329,4.47606e-05,4.47606e-05,4.47606e-05
90,8436.56,0.07778,0.00379,0,0.06078,0.78497,1,1,0.995,0.95551,1,1,0.995,0.99481,0.37787,0.0084,0,0.16215,1.39066,3.9264e-05,3.9264e-05,3.9264e-05
91,8537.78,0.07759,0.00364,0,0.06041,0.78248,1,1,0.995,0.95458,1,1,0.995,0.99481,0.3778,0.00837,0,0.16244,1.38892,3.4227e-05,3.4227e-05,3.4227e-05
92,8627.03,0.07826,0.00356,0,0.06104,0.786,1,1,0.995,0.95517,1,1,0.995,0.9948,0.37805,0.00838,0,0.16269,1.38826,2.96546e-05,2.96546e-05,2.96546e-05
93,8716.29,0.07796,0.00363,0,0.06069,0.78404,1,1,0.995,0.95463,1,1,0.995,0.99479,0.37795,0.00844,0,0.16274,1.38933,2.55513e-05,2.55513e-05,2.55513e-05
94,8805.49,0.07784,0.00351,0,0.06053,0.78206,1,1,0.995,0.9545,1,1,0.995,0.99481,0.37827,0.00846,0,0.16316,1.39136,2.19212e-05,2.19212e-05,2.19212e-05
95,8894.69,0.07634,0.00356,0,0.05968,0.78148,1,1,0.995,0.9539,1,1,0.995,0.99481,0.37797,0.00846,0,0.16324,1.39,1.87678e-05,1.87678e-05,1.87678e-05
96,8983.82,0.07743,0.00368,0,0.06077,0.78595,0.99995,1,0.995,0.95441,0.99995,1,0.995,0.99482,0.37801,0.00845,0,0.16282,1.39049,1.60943e-05,1.60943e-05,1.60943e-05
97,9072.98,0.0772,0.00352,0,0.06042,0.78478,0.99995,1,0.995,0.95409,0.99995,1,0.995,0.9948,0.37826,0.00846,0,0.16306,1.39303,1.39032e-05,1.39032e-05,1.39032e-05
98,9162.25,0.07734,0.00352,0,0.06019,0.78294,0.99995,1,0.995,0.95322,0.99995,1,0.995,0.9948,0.37946,0.00848,0,0.1633,1.39897,1.21968e-05,1.21968e-05,1.21968e-05
99,9251.36,0.07804,0.00358,0,0.06067,0.78538,0.99995,1,0.995,0.95305,0.99995,1,0.995,0.9948,0.38029,0.00848,0,0.16387,1.40274,1.09768e-05,1.09768e-05,1.09768e-05
100,9340.64,0.07681,0.00356,0,0.06018,0.78256,0.99995,1,0.995,0.95186,0.99995,1,0.995,0.99482,0.38075,0.00849,0,0.16445,1.4055,1.02443e-05,1.02443e-05,1.02443e-05
